id,name,type,party,age,sex
Platzeck,Platzeck,0,11,1953,m
Pofalla,Pofalla,0,9,1959,m
Praetorius,Praetorius,0,NA,NA,w
Tillich,Tillich,0,9,1959,m
"Hasselfeldt
","Hasselfeldt
",0,10,1951,w
"Kampeter
","Bundesvereinigung der Deutschen Arbeiterverbände
",1,9,NA,NA
Kapferer,"Bundesverband der Energie- und Wasserwirtschaft
",1,13,"NA
",NA
Kempf,Bundesverband der deutschen Industrie,1,NA,NA,NA
Nemat,Telekom,1,NA,NA,NA
Reiche,Verband Kommunaler Unternehmen,1,9,NA,NA
Röstel,Stadentwässerung Dresden,1,12,NA,NA
Schweitzer,Deutsche Industrie- und Handelskammer,1,13,NA,"NA
"
Grothus,Buirer für Buir,1,NA,NA,NA
Wodtke,CDU,0,9,NA,w
Herntier,Politik,0,NA,1,w
Kreuzberg,CDU,0,9,1,m
Priggen,Die Grünen,0,12,1,m
Vassiliadis,IG BCE,1,11,NA,NA
Scheidt,Verdi,1,11,NA,NA
Körzell,DGB,1,11,NA,NA
Kaiser,Greenpeace,1,NA,NA,NA
Weiger,BUND,1,NA,NA,NA
Niebert,DNR,1,NA,NA,NA
Allmendinger,WZB,1,NA,NA,NA
Matthes,Ökö- Institut,1,NA,NA,NA
Schellnhuber,Potsdam-Institut,1,NA,NA,NA
Niebuhr,Niebuhr,0,NA,1,w
Wehrspohn,Frauenhofer- Institut,1,NA,NA,NA
Lämmel,Lämmel,0,9,1,m
Lenz,Lenz,0,10,3,m
Miersch,Miersch,0,11,2,m
